n,m,d,n_red,m_red,rep,steps,time,alpha,IsAut_Sp,IsAut_Re,steps,time_a,alpha_a,|a|,IsAut_Sp_a,IsAut_Re_a
10,50,4,10,45,3,30,0.611454963684082,2.9075418905792865,True,True,27,0.7143630981445312,2.96170681378034,10,True,True
10,50,4,10,46,4,25,0.5279262065887451,2.2607726039773883,True,True,23,0.6050100326538086,2.332608112889064,10,True,True
10,50,4,10,44,5,107,2.141771078109741,2.881845792204437,True,True,0,0.0250701904296875,0.4148471615720524,10,True,True
10,50,5,10,45,1,35,0.7123861312866211,7.293671274942627,True,True,36,0.8367407321929932,7.878853120779525,10,True,True
10,50,5,10,41,2,35,0.6549370288848877,6.290705547245934,True,True,22,0.5786721706390381,6.575278164063991,10,True,True
10,50,5,10,37,3,94,1.5375261306762695,5.6684001499950805,True,True,0,0.021418094635009766,0.4689655172413793,10,True,True
10,50,5,10,41,4,27,0.50559401512146,2.5384671519633573,True,True,33,0.8539628982543945,2.6009806572815033,10,True,True
10,50,5,10,43,5,58,1.1190929412841797,6.495044209835183,True,True,52,1.098430871963501,7.197356554880949,10,True,True
20,10,3,18,10,1,13,0.11800718307495117,0.4293986911447074,True,True,11,0.3279397487640381,0.42993341251627604,18,True,True
20,10,3,18,10,2,20,0.17815113067626953,0.8499913795403754,True,True,1,0.05253005027770996,0.372,11,True,True
20,10,3,20,10,3,13,0.13235998153686523,0.5321432656477327,True,True,11,0.41161298751831055,0.5327633604133882,20,True,True
20,10,3,19,10,4,13,0.12984585762023926,0.7654581323625643,True,True,11,0.4093348979949951,0.7655580608517554,19,True,True
20,10,3,18,10,5,43,0.37859082221984863,0.4746958205356278,True,True,33,1.325990915298462,0.47782020249357016,16,True,True
20,10,4,18,9,1,46,0.37540721893310547,0.5994262662602239,True,True,33,0.7188620567321777,0.6029786706626716,14,True,True
20,10,4,19,10,2,36,0.336259126663208,0.38356188987802065,True,True,30,0.7890040874481201,0.3838468752657477,17,True,True
20,10,4,19,10,3,39,0.3660438060760498,0.47045762946637065,True,True,32,0.9646880626678467,0.47045585599036466,19,True,True
20,10,4,18,10,4,29,0.25652408599853516,0.834694709835245,True,True,26,0.7527401447296143,0.8358257639068167,18,True,True
20,10,4,18,10,5,24,0.21397995948791504,0.46815790719616074,True,True,20,0.5096409320831299,0.4683525793277486,18,True,True
20,10,5,19,10,1,123,1.1195061206817627,0.7923625595193686,True,True,4,0.0758211612701416,0.3838355596572144,13,True,True
20,10,5,18,10,2,29,0.2616128921508789,0.33550949092803306,True,True,24,0.5060839653015137,0.3358466898055823,18,True,True
20,10,5,15,10,3,64,0.4744720458984375,1.742345117067908,True,True,57,1.0705218315124512,1.7470468967821031,15,True,True
20,10,5,18,10,4,29,0.2601437568664551,0.32656046131782773,True,True,24,0.5437450408935547,0.3266916455536429,18,True,True
20,10,5,14,9,5,35,0.24461102485656738,0.35611278128821416,True,True,29,0.5423450469970703,0.3562018396958703,14,True,True
20,20,3,20,20,1,17,0.3275878429412842,1.0958741433618402,True,True,15,0.961555004119873,1.0984222843724272,20,True,True
